Identifier,isPresent_4wpi,log2.Ratio_4wpi,pValue_4wpi,fdr_4wpi,isPresent_8wpi,log2.Ratio_8wpi,pValue_8wpi,fdr_8wpi,isPresent_12wpi,log2.Ratio_12wpi,pValue_12wpi,fdr_12wpi,isPresent_14wpi,log2.Ratio_14wpi,pValue_14wpi,fdr_14wpi,isPresent_16wpi,log2.Ratio_16wpi,pValue_16wpi,fdr_16wpi,isPresent_18wpi,log2.Ratio_18wpi,pValue_18wpi,fdr_18wpi,isPresent_20wpi,log2.Ratio_20wpi,pValue_20wpi,fdr_20wpi,isPresent_term,log2.Ratio_term,pValue_term,fdr_term,CellType
Kdm4b,TRUE,0.05206,0.72,0.9959,TRUE,-0.3367,0.01322,0.09071,TRUE,0.262,0.01859,0.1974,TRUE,0.3284,0.01501,0.357,TRUE,-0.3158,0.01381,0.2061,TRUE,-0.2586,0.2328,0.873,TRUE,0.2612,0.1056,0.4584,TRUE,-0.2624,0.1058,0.282,_NE
Kdm4c,TRUE,-0.352,0.03958,0.9959,TRUE,0.2464,0.0604,0.2193,TRUE,-0.141,0.2101,0.6069,TRUE,-0.02309,0.8637,0.973,TRUE,0.07198,0.6277,0.8675,TRUE,-0.09697,0.6217,0.9825,TRUE,-0.3227,0.06429,0.368,TRUE,0.01816,0.9256,0.9685,_NE
Kdm4d,TRUE,0.2749,0.5915,0.9959,TRUE,-0.547,0.1169,0.3211,TRUE,0.02499,0.9535,0.9882,TRUE,0.3358,0.4183,0.8298,TRUE,0.1163,0.78,0.9278,TRUE,-0.3028,0.5936,0.9793,TRUE,-0.374,0.4646,0.7982,TRUE,-0.05323,0.9156,0.9651,_NE
Kdm5a,TRUE,-0.1995,0.1783,0.9959,TRUE,0.2084,0.06207,0.2233,TRUE,-0.1493,0.1061,0.4669,TRUE,-0.1325,0.3346,0.786,TRUE,0.007142,0.9582,0.9865,TRUE,0.04798,0.8048,0.9896,TRUE,-0.09587,0.5528,0.8413,TRUE,-0.1606,0.3556,0.6015,_NE
Kdm5b,TRUE,-0.2878,0.03728,0.9959,TRUE,0.1488,0.1501,0.3687,TRUE,-0.02956,0.7262,0.9127,TRUE,0.08865,0.4405,0.8397,TRUE,0.1473,0.3202,0.6986,TRUE,-0.02405,0.88,0.9944,TRUE,-0.2055,0.1314,0.5057,TRUE,-0.1221,0.4084,0.6502,_NE
Kdm5c,TRUE,0.03145,0.824,0.9983,TRUE,0.01824,0.8633,0.936,TRUE,0.05504,0.5895,0.8591,TRUE,0.02244,0.8502,0.9699,TRUE,-0.09414,0.4668,0.7893,TRUE,0.05027,0.7611,0.989,TRUE,0.1703,0.2555,0.6542,TRUE,-0.2874,0.08538,0.2439,_NE
Kdm5d,TRUE,-0.1552,0.3797,0.9959,TRUE,0.1053,0.4081,0.6406,TRUE,-0.1253,0.2922,0.6806,TRUE,-0.154,0.4073,0.8241,TRUE,0.01203,0.9377,0.9801,TRUE,0.1474,0.4893,0.9719,TRUE,-0.09006,0.6442,0.8826,TRUE,-0.05734,0.7856,0.9007,_NE
Kdm6a,TRUE,-0.1891,0.2404,0.9959,TRUE,0.07834,0.5049,0.7139,TRUE,-0.1097,0.3656,0.7341,TRUE,-0.2286,0.1775,0.6938,TRUE,-0.1402,0.3717,0.7336,TRUE,-0.06793,0.7579,0.9889,TRUE,-0.1624,0.4084,0.764,TRUE,-0.1614,0.4994,0.7228,_NE
Kdm6b,TRUE,0.07033,0.7041,0.9959,TRUE,-0.5602,6.306E-05,0.002129,TRUE,0.1891,0.08449,0.4227,TRUE,0.003549,0.9795,0.9961,TRUE,-0.6549,3.674E-06,0.001456,TRUE,-0.4372,0.0712,0.6198,TRUE,0.2895,0.1506,0.5334,TRUE,-0.3067,0.07948,0.231,_NE
Kdr,TRUE,0.003801,0.9881,0.9991,TRUE,-0.365,0.03953,0.1714,TRUE,-0.1905,0.2455,0.6417,TRUE,-0.5581,0.002005,0.151,TRUE,-0.3252,0.09336,0.4577,TRUE,0.4006,0.05978,0.582,TRUE,-0.135,0.5646,0.8469,TRUE,-0.4442,0.04683,0.1593,EC
Kdsr,TRUE,-0.0186,0.9062,0.9991,TRUE,0.2022,0.07702,0.2534,TRUE,-0.1179,0.2534,0.6471,TRUE,0.06569,0.6134,0.8996,TRUE,0.1513,0.2695,0.6608,TRUE,0.07976,0.6627,0.9825,TRUE,-0.01576,0.9196,0.9775,TRUE,0.09779,0.5683,0.7739,_NE
Keap1,TRUE,0.1859,0.2208,0.9959,TRUE,-0.3625,0.001016,0.01651,TRUE,0.3432,0.0003196,0.01793,TRUE,0.04369,0.7313,0.9366,TRUE,-0.1926,0.2019,0.6,TRUE,-0.186,0.3573,0.9333,TRUE,0.1079,0.4834,0.8073,TRUE,-0.09457,0.5982,0.7956,_NE
Khdrbs1,TRUE,-0.1117,0.4512,0.9959,TRUE,0.2443,0.02195,0.1236,TRUE,-0.1528,0.07193,0.3935,TRUE,0.005342,0.9617,0.9932,TRUE,0.1439,0.3163,0.6959,TRUE,0.0387,0.8082,0.9896,TRUE,-0.01732,0.9019,0.9734,TRUE,0.0134,0.929,0.97,_NE
Khdrbs2,TRUE,0.1945,0.607,0.9959,TRUE,0.09293,0.6703,0.8254,TRUE,-0.09136,0.7006,0.9032,TRUE,-0.322,0.2122,0.7126,TRUE,-0.217,0.3707,0.7329,TRUE,0.04959,0.8709,0.9936,TRUE,-0.1493,0.6146,0.8703,TRUE,-0.4294,0.2064,0.4354,_NE
Khdrbs3,TRUE,-0.1971,0.3694,0.9959,TRUE,0.1007,0.3803,0.6172,TRUE,-0.008241,0.9227,0.9814,TRUE,0.3553,0.007643,0.2654,TRUE,0.2348,0.1075,0.4822,TRUE,0.06052,0.7244,0.986,TRUE,-0.166,0.3621,0.7357,TRUE,-0.445,0.01429,0.06538,_NE
Khk,TRUE,0.3117,0.3114,0.9959,TRUE,-0.5237,0.01707,0.1059,TRUE,0.05379,0.803,0.9419,TRUE,-0.2302,0.3474,0.7955,TRUE,-0.3115,0.1793,0.5776,TRUE,-0.2132,0.5009,0.9731,TRUE,0.3266,0.2185,0.619,TRUE,0.6619,0.01874,0.08107,_NE
Khnyn,TRUE,-0.113,0.5502,0.9959,TRUE,-0.2206,0.1288,0.3385,TRUE,0.05041,0.7055,0.9061,TRUE,-0.2278,0.1561,0.6733,TRUE,-0.09871,0.5344,0.8263,TRUE,-0.06107,0.7581,0.9889,TRUE,0.1313,0.4644,0.7982,TRUE,-0.1409,0.4878,0.7137,_NE
Khsrp,TRUE,0.1686,0.2318,0.9959,TRUE,-0.2445,0.04737,0.19,TRUE,0.1085,0.2899,0.6788,TRUE,0.1519,0.1866,0.7018,TRUE,-0.2647,0.02867,0.2906,TRUE,-0.1373,0.4614,0.9653,TRUE,0.1053,0.5395,0.835,TRUE,-0.2223,0.1273,0.3186,_NE
Kidins220,TRUE,-0.2037,0.3106,0.9959,TRUE,0.02038,0.859,0.9344,TRUE,-0.08131,0.4271,0.7745,TRUE,-0.08327,0.512,0.8664,TRUE,0.0211,0.8811,0.9654,TRUE,-0.02203,0.9009,0.9959,TRUE,-0.1279,0.3893,0.7525,TRUE,-0.2931,0.07756,0.2275,_NE
Kif11,TRUE,0.105,0.7935,0.9959,TRUE,0.1613,0.5633,0.7556,TRUE,-0.5419,0.07176,0.3932,TRUE,-0.5936,0.08544,0.6003,TRUE,-0.2382,0.4604,0.786,TRUE,0.5631,0.2276,0.8699,TRUE,0.5003,0.1857,0.5802,TRUE,0.6253,0.1674,0.3817,_NE
Kif13a,TRUE,-0.03407,0.8469,0.9983,TRUE,-0.03489,0.7734,0.8879,TRUE,0.01173,0.9231,0.9814,TRUE,-0.342,0.01754,0.384,TRUE,-0.1601,0.2634,0.6557,TRUE,0.1865,0.2941,0.9015,TRUE,-0.02001,0.9059,0.9744,TRUE,0.01238,0.9448,0.9767,_NE
Kif13b,TRUE,0.08894,0.6846,0.9959,TRUE,0.07779,0.6626,0.8213,TRUE,0.203,0.2788,0.6688,TRUE,-0.2959,0.1933,0.7081,TRUE,-0.3419,0.04037,0.3387,TRUE,0.2705,0.1568,0.7951,TRUE,-0.01392,0.9387,0.9836,TRUE,-0.3197,0.2347,0.4717,_NE
Kif14,TRUE,0.02538,0.9679,0.9991,TRUE,0.4691,0.3797,0.6166,TRUE,0.233,0.6365,0.8783,TRUE,-0.1733,0.7578,0.9441,TRUE,0.3269,0.5288,0.8234,TRUE,0.3968,0.5265,0.9765,TRUE,0.7026,0.2688,0.6623,TRUE,0.8735,0.1544,0.362,_NE
Kif16b,TRUE,-0.1913,0.3246,0.9959,TRUE,0.01006,0.9432,0.9777,TRUE,-0.2101,0.1787,0.5708,TRUE,-0.2989,0.09755,0.6188,TRUE,0.1124,0.517,0.8172,TRUE,0.009764,0.9657,0.9975,TRUE,-0.05111,0.7992,0.9443,TRUE,0.2351,0.307,0.5551,_NE
Kif17,TRUE,0.1138,0.6213,0.9959,TRUE,-0.184,0.2803,0.5243,TRUE,0.07866,0.5513,0.8437,TRUE,0.2248,0.1068,0.6208,TRUE,-0.1114,0.4886,0.8008,TRUE,-0.1701,0.4063,0.9514,TRUE,0.5398,0.002686,0.06022,TRUE,0.4401,0.0162,0.07227,_NE
Kif18a,TRUE,0.4301,0.3558,0.9959,TRUE,0.1648,0.6456,0.8105,TRUE,-0.8742,0.05342,0.3472,TRUE,-0.7344,0.1614,0.6792,TRUE,0.3115,0.4762,0.796,TRUE,0.4767,0.4932,0.9727,TRUE,0.4029,0.3933,0.7546,TRUE,1.299,0.02375,0.09688,_NE
Kif19a,TRUE,0.02179,0.9501,0.9991,TRUE,-0.3882,0.1217,0.3281,TRUE,0.3259,0.2052,0.6016,TRUE,-0.5132,0.07376,0.5817,TRUE,-0.5318,0.1392,0.5283,TRUE,0.3124,0.4119,0.9534,TRUE,0.3146,0.3855,0.7497,TRUE,0.5325,0.1141,0.2964,OL
Kif1a,TRUE,-0.04444,0.8656,0.9983,TRUE,-0.3368,0.004817,0.04847,TRUE,0.2101,0.1571,0.5476,TRUE,0.04033,0.7909,0.9544,TRUE,-0.07846,0.6356,0.8711,TRUE,-0.1989,0.3692,0.9383,TRUE,0.1278,0.4308,0.7795,TRUE,-0.4194,0.04031,0.1425,_NE
Kif1b,TRUE,-0.1395,0.5691,0.9959,TRUE,0.08517,0.5331,0.7356,TRUE,0.1148,0.4533,0.791,TRUE,-0.1647,0.3337,0.785,TRUE,0.01434,0.9341,0.979,TRUE,-0.07791,0.7096,0.9853,TRUE,-0.05946,0.7286,0.9199,TRUE,-0.5159,0.006891,0.03671,_NE
Kif1c,TRUE,0.1613,0.2728,0.9959,TRUE,-0.1171,0.3012,0.5443,TRUE,0.1426,0.1677,0.5594,TRUE,0.01342,0.9095,0.9846,TRUE,-0.2822,0.08464,0.4451,TRUE,0.0801,0.6173,0.9825,TRUE,0.1757,0.2229,0.6211,TRUE,0.2973,0.07146,0.2158,_NE
Kif20a,TRUE,0.08825,0.8547,0.9983,TRUE,-0.01009,0.9794,0.9917,TRUE,-0.2293,0.5903,0.8591,TRUE,0.7413,0.1349,0.6537,TRUE,0.2499,0.5867,0.8488,TRUE,1.089,0.03502,0.4609,TRUE,0.897,0.09634,0.4415,TRUE,1.057,0.02664,0.1056,_NE
Kif20b,TRUE,-0.3091,0.5838,0.9959,TRUE,0.1236,0.7655,0.8837,TRUE,-0.8904,0.06685,0.3804,TRUE,-1.306,0.03358,0.4838,TRUE,0.07306,0.8942,0.9693,TRUE,0.3859,0.5896,0.979,TRUE,-0.5473,0.3512,0.729,TRUE,0.7461,0.3421,0.5895,_NE
Kif21a,TRUE,-0.1626,0.3191,0.9959,TRUE,0.07923,0.4813,0.6972,TRUE,-0.03973,0.6436,0.8812,TRUE,0.005573,0.9686,0.9942,TRUE,0.04777,0.7489,0.9173,TRUE,-0.06453,0.7035,0.9834,TRUE,-0.2848,0.05093,0.3283,TRUE,-0.5011,0.00292,0.01858,_NE
Kif21b,TRUE,0.07647,0.6059,0.9959,TRUE,-0.5465,6.037E-05,0.002061,TRUE,0.2545,0.03363,0.273,TRUE,-0.02886,0.8107,0.9597,TRUE,-0.3701,0.001366,0.05293,TRUE,-0.2258,0.2001,0.8429,TRUE,0.2568,0.07017,0.3828,TRUE,-0.3476,0.04491,0.1541,_NE
Kif22,TRUE,0.3974,0.3596,0.9959,TRUE,-0.2357,0.4541,0.6767,TRUE,-0.3036,0.4184,0.7699,TRUE,-0.1396,0.7127,0.9285,TRUE,-0.2407,0.539,0.8288,TRUE,0.2902,0.5256,0.9765,TRUE,0.6935,0.1617,0.5479,TRUE,1.291,0.001949,0.01342,_NE
Kif23,TRUE,0.6937,0.1525,0.9959,TRUE,0.6874,0.08325,0.2644,TRUE,-0.03367,0.9428,0.9856,TRUE,-0.5101,0.281,0.7526,TRUE,-0.5484,0.2266,0.6255,TRUE,0.6523,0.1745,0.8159,TRUE,0.2725,0.5359,0.8337,TRUE,1.221,0.04719,0.16,_NE
Kif24,TRUE,0.2049,0.6629,0.9959,TRUE,-0.4236,0.2228,0.4611,TRUE,0.1934,0.6332,0.8771,TRUE,-0.5903,0.1904,0.7059,TRUE,-0.595,0.1079,0.4834,TRUE,0.1979,0.7127,0.986,TRUE,0.1952,0.7396,0.9238,TRUE,0.6377,0.1634,0.3756,_NE
Kif26a,TRUE,0.3618,0.3041,0.9959,TRUE,-1.118,1.393E-06,0.000105,TRUE,0.4773,0.04053,0.3012,TRUE,-0.3467,0.1493,0.6675,TRUE,-0.9008,0.001727,0.06245,TRUE,-0.4762,0.1588,0.7955,TRUE,0.3488,0.245,0.6431,TRUE,-0.05225,0.8574,0.937,_NE
Kif26b,TRUE,-0.2872,0.4234,0.9959,TRUE,-0.5104,0.0197,0.1154,TRUE,0.451,0.03945,0.2967,TRUE,-0.2918,0.246,0.7296,TRUE,-0.4224,0.04561,0.3549,TRUE,0.1064,0.7007,0.9826,TRUE,0.1127,0.6393,0.8806,TRUE,-1.031,2.46E-05,0.0003211,_NE
Kif27,TRUE,-0.008457,0.9811,0.9991,TRUE,0.3237,0.206,0.44,TRUE,-0.5442,0.03324,0.271,TRUE,-0.6684,0.04967,0.5258,TRUE,-0.1928,0.4705,0.792,TRUE,0.06932,0.871,0.9936,TRUE,-0.1238,0.7208,0.9166,TRUE,-0.4108,0.2163,0.4481,_NE
Kif2a,TRUE,-0.2753,0.0564,0.9959,TRUE,0.1708,0.1338,0.3457,TRUE,-0.1296,0.1548,0.5446,TRUE,-0.04461,0.7319,0.9366,TRUE,0.1554,0.3145,0.6949,TRUE,-0.1241,0.4884,0.9719,TRUE,-0.34,0.01919,0.2018,TRUE,-0.316,0.07461,0.2218,_NE
Kif3a,TRUE,-0.1047,0.5181,0.9959,TRUE,0.09735,0.3927,0.6285,TRUE,-0.03163,0.7187,0.9103,TRUE,-0.04218,0.7397,0.9385,TRUE,0.1098,0.4064,0.7551,TRUE,-0.05789,0.7522,0.9885,TRUE,-0.2074,0.1885,0.5836,TRUE,-0.3881,0.0333,0.124,_NE
Kif3b,TRUE,-0.1805,0.1883,0.9959,TRUE,0.1758,0.09075,0.2763,TRUE,-0.004081,0.961,0.9903,TRUE,0.2279,0.05497,0.5374,TRUE,0.2682,0.06649,0.4088,TRUE,0.00559,0.9714,0.9975,TRUE,-0.1052,0.4517,0.7907,TRUE,-0.1856,0.1991,0.4262,_NE
Kif3c,TRUE,-0.1106,0.5245,0.9959,TRUE,-0.144,0.1742,0.3989,TRUE,0.102,0.2834,0.6731,TRUE,0.1459,0.252,0.7333,TRUE,0.02287,0.8613,0.9581,TRUE,-0.1092,0.5238,0.9765,TRUE,-0.01526,0.919,0.9775,TRUE,-0.3387,0.04193,0.1465,_NE
Kif4,TRUE,0.3095,0.4683,0.9959,TRUE,0.6328,0.04737,0.19,TRUE,-0.3862,0.2791,0.6688,TRUE,0.3751,0.3042,0.768,TRUE,0.04547,0.8984,0.9697,TRUE,0.1493,0.7598,0.9889,TRUE,-0.2121,0.6483,0.8847,TRUE,1.074,0.0146,0.06644,_NE
Kif5a,TRUE,0.09889,0.7566,0.9959,TRUE,-0.06783,0.61,0.7888,TRUE,0.2733,0.1214,0.4915,TRUE,-0.03304,0.8464,0.9695,TRUE,-0.1245,0.496,0.8051,TRUE,-0.05189,0.8346,0.9926,TRUE,0.01841,0.909,0.9761,TRUE,-1.077,2.057E-07,4.153E-06,_NE
Kif5b,TRUE,-0.09868,0.6008,0.9959,TRUE,0.2215,0.08175,0.2617,TRUE,-0.138,0.1741,0.5658,TRUE,-0.3017,0.1507,0.6675,TRUE,-0.1104,0.4825,0.7972,TRUE,0.06849,0.816,0.9899,TRUE,-0.2151,0.303,0.6921,TRUE,-0.2084,0.5331,0.7486,_NE
Kif5c,TRUE,-0.1211,0.6284,0.9959,TRUE,0.1524,0.1953,0.427,TRUE,0.02327,0.8637,0.9639,TRUE,-0.02347,0.869,0.9749,TRUE,0.1051,0.5255,0.8217,TRUE,-0.03214,0.8731,0.9936,TRUE,-0.1516,0.3196,0.7059,TRUE,-0.3549,0.04385,0.1515,_NE
Kif6,TRUE,0.1158,0.7517,0.9959,TRUE,-0.4326,0.1445,0.3607,TRUE,-0.2197,0.4524,0.7904,TRUE,-0.4327,0.1951,0.7081,TRUE,-0.1103,0.6899,0.8924,TRUE,0.1519,0.6742,0.9825,TRUE,-0.05555,0.8602,0.9633,TRUE,0.05075,0.8771,0.9468,_NE
Kif7,TRUE,0.1343,0.7015,0.9959,TRUE,-0.4892,0.07666,0.2528,TRUE,0.1333,0.5995,0.863,TRUE,-0.3364,0.2757,0.7491,TRUE,-0.4921,0.09917,0.4678,TRUE,0.2268,0.5611,0.9788,TRUE,0.354,0.3442,0.7233,TRUE,0.8962,0.005896,0.03254,_NE
Kif9,TRUE,0.2022,0.4574,0.9959,TRUE,0.004756,0.9819,0.9921,TRUE,-0.3143,0.1589,0.5498,TRUE,-0.5736,0.03612,0.4932,TRUE,-0.08995,0.7228,0.9056,TRUE,-0.09139,0.7869,0.9896,TRUE,-0.03865,0.8988,0.9724,TRUE,0.01124,0.9715,0.9876,_NE
Kifap3,TRUE,-0.2154,0.227,0.9959,TRUE,0.1713,0.1107,0.3106,TRUE,-0.03824,0.7107,0.9078,TRUE,0.1757,0.1395,0.658,TRUE,0.2604,0.1045,0.4779,TRUE,-0.1503,0.3597,0.9342,TRUE,-0.2519,0.0904,0.4297,TRUE,-0.4026,0.009591,0.04791,_NE
Kifc1,TRUE,0.3561,0.4406,0.9959,TRUE,-0.3936,0.2896,0.5329,TRUE,0.04405,0.9165,0.9794,TRUE,-0.02405,0.9481,0.9913,TRUE,-0.1409,0.7042,0.8969,TRUE,-0.1664,0.7415,0.9884,TRUE,0.3112,0.532,0.8318,TRUE,0.8092,0.06439,0.2,_NE
Kifc2,TRUE,0.1882,0.3364,0.9959,TRUE,-0.4223,0.000427,0.008933,TRUE,0.3678,0.001026,0.03601,TRUE,0.1283,0.3679,0.8064,TRUE,-0.428,0.004422,0.1085,TRUE,-0.4203,0.05313,0.5609,TRUE,0.1554,0.3013,0.691,TRUE,-0.648,0.0008714,0.006867,_NE
Kifc3,TRUE,0.3696,0.02361,0.9438,TRUE,-0.7736,9.604E-10,4.358E-07,TRUE,0.3634,0.0009425,0.03427,TRUE,-0.09985,0.4661,0.85,TRUE,-0.5247,0.0007062,0.03465,TRUE,-0.2906,0.2022,0.8451,TRUE,0.3547,0.05417,0.3393,TRUE,-0.535,0.001846,0.01284,_NE
Kifc5b,TRUE,0.3935,0.3024,0.9959,TRUE,0.1188,0.6664,0.8235,TRUE,0.3011,0.2679,0.6583,TRUE,-0.05833,0.8593,0.9724,TRUE,-0.2115,0.4832,0.7977,TRUE,-0.4576,0.2458,0.8813,TRUE,0.53,0.2432,0.6415,TRUE,-0.179,0.6024,0.7979,_NE
Kin,TRUE,-0.1202,0.5822,0.9959,TRUE,0.1978,0.2438,0.4837,TRUE,-0.1802,0.3452,0.7202,TRUE,0.1306,0.5312,0.8702,TRUE,0.1223,0.5488,0.8331,TRUE,0.2044,0.4303,0.9588,TRUE,-0.2171,0.3842,0.7486,TRUE,0.2654,0.3108,0.5583,_NE
Kirrel,TRUE,-0.04733,0.8352,0.9983,TRUE,-0.02,0.9168,0.9642,TRUE,-0.2259,0.2715,0.6619,TRUE,-0.1585,0.4404,0.8397,TRUE,-0.2713,0.19,0.5903,TRUE,0.3923,0.1548,0.795,TRUE,-0.6413,0.001823,0.04532,TRUE,0.4086,0.1098,0.2887,_NE
Kirrel2,TRUE,0.7034,0.01546,0.8649,TRUE,0.446,0.05301,0.2029,TRUE,1.062,1.033E-07,9.254E-05,TRUE,0.8501,2.368E-05,0.01185,TRUE,0.262,0.2028,0.6006,TRUE,0.04333,0.8685,0.9936,TRUE,0.7391,0.003429,0.07115,TRUE,-0.9536,0.0005681,0.004773,_NE
Kirrel3,TRUE,0.143,0.5589,0.9959,TRUE,-0.4102,0.001632,0.02314,TRUE,0.2962,0.005363,0.1012,TRUE,0.07896,0.6045,0.896,TRUE,0.03269,0.8203,0.9432,TRUE,-0.1706,0.4231,0.9563,TRUE,0.2145,0.2422,0.6405,TRUE,-0.02567,0.8974,0.9573,_NE
Kiss1r,TRUE,-0.06253,0.8544,0.9983,TRUE,-0.5719,0.03757,0.1663,TRUE,0.4636,0.06625,0.3795,TRUE,-0.2247,0.4154,0.8286,TRUE,-0.4135,0.1012,0.472,TRUE,-0.1985,0.5917,0.979,TRUE,0.3293,0.3855,0.7497,TRUE,-0.4672,0.1849,0.4068,_NE
Kit,TRUE,-0.3848,0.07071,0.9959,TRUE,-0.2501,0.2171,0.4542,TRUE,0.5126,0.01478,0.1748,TRUE,0.09781,0.5603,0.8785,TRUE,0.4212,0.008253,0.1563,TRUE,-0.2193,0.1682,0.8081,TRUE,-0.2052,0.1775,0.5713,TRUE,-0.8146,0.002409,0.01594,_NE
Kitl,TRUE,0.1434,0.5349,0.9959,TRUE,0.1863,0.4455,0.6706,TRUE,-0.08839,0.5074,0.8205,TRUE,-0.4468,0.107,0.6208,TRUE,-0.1845,0.3763,0.7356,TRUE,-0.07089,0.8192,0.9901,TRUE,-0.367,0.09394,0.437,TRUE,-0.9239,0.01651,0.07341,EC
Kl,TRUE,0.1059,0.8279,0.9983,TRUE,0.7873,0.01078,0.08032,TRUE,-0.656,0.1728,0.5651,TRUE,-1.238,0.001137,0.1109,TRUE,-0.3076,0.4232,0.7665,TRUE,-0.07338,0.8825,0.9947,TRUE,-1.361,4.313E-08,7.852E-06,TRUE,1.118,0.02144,0.08953,_NE
Klc1,TRUE,0.07887,0.683,0.9959,TRUE,-0.2674,0.01778,0.1083,TRUE,0.2608,0.02874,0.2519,TRUE,0.1242,0.3619,0.8042,TRUE,-0.05719,0.6687,0.883,TRUE,-0.1997,0.294,0.9015,TRUE,0.06213,0.6943,0.9077,TRUE,-0.2833,0.1084,0.2866,_NE
Klc2,TRUE,0.1731,0.2746,0.9959,TRUE,-0.4595,0.0003151,0.007075,TRUE,0.2726,0.009434,0.1399,TRUE,0.1765,0.2133,0.7133,TRUE,-0.3476,0.005452,0.1211,TRUE,-0.4702,0.03709,0.4761,TRUE,0.05072,0.7796,0.9366,TRUE,-0.6944,0.0001687,0.001715,_NE
Klc3,TRUE,0.8912,0.04486,0.9959,TRUE,-0.9235,0.005459,0.05262,TRUE,0.09295,0.7737,0.9298,TRUE,-0.3725,0.2662,0.742,TRUE,-0.8444,0.05049,0.3702,TRUE,-0.0949,0.8327,0.9926,TRUE,0.679,0.1909,0.5862,TRUE,1.759,3.32E-08,7.759E-07,_NE
Klc4,TRUE,0.4263,0.03342,0.9779,TRUE,-0.3721,0.01785,0.1086,TRUE,0.2537,0.06647,0.3798,TRUE,-0.07418,0.6405,0.9082,TRUE,-0.263,0.155,0.5487,TRUE,0.0194,0.9346,0.9975,TRUE,0.4291,0.02182,0.217,TRUE,0.1544,0.4091,0.6505,_NE
Klf10,TRUE,-0.1381,0.5162,0.9959,TRUE,-0.01909,0.8881,0.949,TRUE,-0.1749,0.1517,0.5385,TRUE,0.3738,0.02126,0.4128,TRUE,-0.2956,0.2332,0.6326,TRUE,-0.4784,0.03085,0.4299,TRUE,-0.01283,0.9592,0.9891,TRUE,0.4208,0.01976,0.08438,_NE
Klf11,TRUE,0.294,0.3135,0.9959,TRUE,-0.3483,0.07527,0.2499,TRUE,-0.233,0.3615,0.7319,TRUE,-0.4347,0.07209,0.5767,TRUE,-0.2602,0.2554,0.6488,TRUE,-0.338,0.2651,0.8884,TRUE,-0.1749,0.5374,0.8341,TRUE,0.2359,0.4206,0.6599,_NE
Klf12,TRUE,-0.0706,0.758,0.9959,TRUE,0.1023,0.6388,0.8064,TRUE,-0.2335,0.1831,0.5764,TRUE,-0.5323,0.1406,0.659,TRUE,-0.3677,0.05375,0.3786,TRUE,0.07506,0.8192,0.9901,TRUE,0.2033,0.5681,0.8487,TRUE,-1.09,4.335E-06,6.817E-05,_NE
Klf13,TRUE,0.0184,0.9153,0.9991,TRUE,0.08402,0.5324,0.7351,TRUE,-0.02035,0.8543,0.9615,TRUE,0.2661,0.0253,0.4403,TRUE,0.04083,0.738,0.9133,TRUE,-0.07351,0.6548,0.9825,TRUE,-0.2031,0.1878,0.583,TRUE,-0.04475,0.7796,0.8976,_NE
Klf15,TRUE,0.4012,0.08079,0.9959,TRUE,0.009758,0.9503,0.9802,TRUE,0.1709,0.4264,0.7741,TRUE,0.2353,0.1054,0.6208,TRUE,-0.1352,0.3556,0.722,TRUE,-0.1693,0.4851,0.9719,TRUE,0.05077,0.7734,0.9351,TRUE,-0.1823,0.302,0.5504,AS
Klf16,TRUE,0.126,0.5429,0.9959,TRUE,-0.2532,0.03997,0.1726,TRUE,0.02344,0.82,0.9483,TRUE,0.1807,0.2428,0.7292,TRUE,-0.1509,0.2768,0.6683,TRUE,-0.4743,0.01357,0.2756,TRUE,-0.1415,0.4331,0.781,TRUE,-0.2037,0.3305,0.5783,_NE
Klf2,TRUE,0.6043,0.1402,0.9959,TRUE,-0.2966,0.2274,0.4664,TRUE,-0.6627,0.005344,0.101,TRUE,-0.08135,0.79,0.9541,TRUE,-0.8528,0.0005203,0.02814,TRUE,-0.3031,0.4413,0.9623,TRUE,0.03469,0.9025,0.9735,TRUE,-0.5514,0.1108,0.2905,_NE
Klf3,TRUE,-0.2579,0.1639,0.9959,TRUE,-0.1496,0.2635,0.5056,TRUE,0.02801,0.8368,0.9557,TRUE,0.0815,0.5625,0.8791,TRUE,-0.07465,0.6277,0.8675,TRUE,0.07542,0.6876,0.9825,TRUE,-0.141,0.4245,0.7762,TRUE,0.1162,0.5762,0.7796,_NE
Klf4,TRUE,0.2627,0.4752,0.9959,TRUE,-0.04773,0.8222,0.9157,TRUE,-0.4634,0.05062,0.3362,TRUE,-0.07277,0.7992,0.9566,TRUE,-0.4534,0.05685,0.3882,TRUE,0.05191,0.8848,0.9949,TRUE,-0.361,0.2151,0.6152,TRUE,-0.3306,0.3255,0.5732,AS
Klf5,TRUE,0.007228,0.9853,0.9991,TRUE,-0.6259,0.07962,0.258,TRUE,0.03762,0.906,0.9763,TRUE,-0.3638,0.3002,0.7659,TRUE,-0.3452,0.36,0.7248,TRUE,-0.1432,0.6643,0.9825,TRUE,0.293,0.3741,0.7417,TRUE,-1.451,0.0001691,0.001716,_NE
Klf6,TRUE,-0.01921,0.9147,0.9991,TRUE,0.2167,0.1209,0.3268,TRUE,-0.2315,0.0422,0.3082,TRUE,-0.04513,0.7786,0.951,TRUE,0.1042,0.5443,0.8311,TRUE,0.1511,0.4441,0.9635,TRUE,0.2224,0.1846,0.5792,TRUE,0.2753,0.1413,0.3419,_NE
