Identifier,isPresent_4wpi,log2.Ratio_4wpi,pValue_4wpi,fdr_4wpi,isPresent_8wpi,log2.Ratio_8wpi,pValue_8wpi,fdr_8wpi,isPresent_12wpi,log2.Ratio_12wpi,pValue_12wpi,fdr_12wpi,isPresent_14wpi,log2.Ratio_14wpi,pValue_14wpi,fdr_14wpi,isPresent_16wpi,log2.Ratio_16wpi,pValue_16wpi,fdr_16wpi,isPresent_18wpi,log2.Ratio_18wpi,pValue_18wpi,fdr_18wpi,isPresent_20wpi,log2.Ratio_20wpi,pValue_20wpi,fdr_20wpi,isPresent_term,log2.Ratio_term,pValue_term,fdr_term,CellType
Cpt2,TRUE,0.16,0.5896,0.9959,TRUE,0.2087,0.296,0.5386,TRUE,-0.307,0.1996,0.5972,TRUE,-0.3817,0.1627,0.6808,TRUE,0.1408,0.5814,0.8473,TRUE,0.497,0.08091,0.6557,TRUE,-0.001633,0.9946,0.9986,TRUE,1.2,0.0001044,0.001134,_NE
Cpxm1,TRUE,0.07074,0.7876,0.9959,TRUE,-0.3035,0.1021,0.2947,TRUE,0.08673,0.685,0.8972,TRUE,-0.1182,0.5865,0.8899,TRUE,0.1165,0.6444,0.8739,TRUE,0.3932,0.1326,0.7689,TRUE,0.2249,0.313,0.7008,TRUE,0.6653,0.02139,0.08939,_NE
Cpxm2,TRUE,0.1343,0.7775,0.9959,TRUE,-0.1457,0.6907,0.8374,TRUE,-0.2201,0.4657,0.7997,TRUE,-0.6087,0.09435,0.6155,TRUE,0.2096,0.5083,0.8119,TRUE,-0.2725,0.4829,0.9719,TRUE,-0.1914,0.5959,0.861,TRUE,0.5247,0.2022,0.4301,_NE
Cr1l,TRUE,-0.08491,0.6692,0.9959,TRUE,0.1489,0.3283,0.5721,TRUE,-0.1861,0.2417,0.6378,TRUE,-0.1879,0.3308,0.7829,TRUE,-0.03124,0.8603,0.958,TRUE,0.1276,0.5768,0.9788,TRUE,-0.1507,0.4508,0.7903,TRUE,0.1177,0.6382,0.8191,_NE
Crabp2,TRUE,0.4544,0.3184,0.9959,TRUE,-0.5379,0.1583,0.3795,TRUE,-1.205,0.01112,0.1535,TRUE,-0.6711,0.1297,0.6492,TRUE,-0.4793,0.2736,0.6655,TRUE,0.8071,0.2078,0.8503,TRUE,-0.803,0.08639,0.4218,TRUE,0.006732,0.9886,0.9955,N
Cradd,TRUE,-3.356E-05,0.9999,0.9999,TRUE,-0.4421,0.07819,0.2556,TRUE,0.2911,0.2598,0.6524,TRUE,0.09661,0.7504,0.9428,TRUE,0.1439,0.5896,0.8498,TRUE,-0.1219,0.7297,0.986,TRUE,0.06272,0.8534,0.9622,TRUE,0.4767,0.1387,0.3381,_NE
Cramp1l,TRUE,-0.1069,0.4425,0.9959,TRUE,0.01891,0.8571,0.9333,TRUE,-0.02578,0.7738,0.9299,TRUE,-0.03787,0.7552,0.9434,TRUE,-0.0571,0.6619,0.8814,TRUE,-0.07786,0.6409,0.9825,TRUE,-0.06552,0.6384,0.8802,TRUE,-0.09294,0.5559,0.7655,_NE
Crat,TRUE,0.09387,0.5237,0.9959,TRUE,-0.07566,0.5099,0.7173,TRUE,0.1644,0.07729,0.4037,TRUE,0.07588,0.5396,0.8716,TRUE,-0.01913,0.884,0.9664,TRUE,0.09516,0.5664,0.9788,TRUE,0.2435,0.08568,0.4199,TRUE,0.005661,0.972,0.9878,_NE
Crb1,TRUE,0.3142,0.5469,0.9959,TRUE,-0.7054,0.1825,0.4101,TRUE,-0.2348,0.6084,0.8671,TRUE,-0.2232,0.6406,0.9082,TRUE,-0.1909,0.6487,0.8754,TRUE,-0.4691,0.3265,0.9165,TRUE,0.1724,0.7097,0.9123,TRUE,-0.1281,0.8035,0.9102,_NE
Crb2,TRUE,0.1459,0.6515,0.9959,TRUE,-0.4855,0.01158,0.08398,TRUE,-0.2905,0.2045,0.6015,TRUE,-0.5984,0.02666,0.4441,TRUE,-0.6023,0.01629,0.2211,TRUE,-0.3136,0.329,0.9171,TRUE,-0.007039,0.9835,0.9966,TRUE,1.14,0.0001037,0.001129,AS
